episode,episode_reward,avg_total_q,avg_total_w,switches
0,-1216.6999999999998,1.3183333333333334,8.576666666666666,317
1,-1321.15,1.4266666666666667,9.448333333333334,273
2,-1779.4000000000003,1.8566666666666667,14.423333333333334,257
3,-981.8500000000004,1.1166666666666667,5.578333333333333,287
4,-905.9499999999997,1.0333333333333334,5.028333333333333,314
5,-958.1499999999997,1.1016666666666666,5.098333333333334,308
6,-729.4,0.84,3.8333333333333335,263
7,-760.65,0.895,3.535,267
8,-608.8000000000001,0.7216666666666667,2.6433333333333335,239
9,-941.0500000000002,1.0883333333333334,4.9383333333333335,251
10,-605.0500000000005,0.7333333333333333,2.2883333333333336,238
11,-869.7500000000006,1.01,4.461666666666667,227
12,-702.9499999999999,0.8466666666666667,2.8116666666666665,190
13,-687.7999999999998,0.8333333333333334,2.6366666666666667,192
14,-594.0499999999997,0.715,2.3516666666666666,193
