episode,episode_reward,avg_total_q,avg_total_w,switches
0,-3880.900000000001,4.043333333333333,31.94333333333333,284
1,-3786.200000000001,3.9783333333333335,30.366666666666667,305
2,-2547.5999999999985,2.875,15.52,320
3,-2138.6500000000005,2.4266666666666667,12.658333333333333,297
4,-2617.8500000000026,2.885,17.601666666666667,357
5,-2670.7000000000016,2.9983333333333335,16.623333333333335,338
6,-2508.200000000002,2.8633333333333333,14.446666666666667,374
7,-2994.3999999999996,3.42,17.293333333333333,360
8,-2624.5000000000014,3.0283333333333333,14.353333333333333,357
9,-2814.6000000000026,3.1983333333333333,16.6,375
10,-2228.450000000003,2.5716666666666668,12.131666666666666,340
11,-2564.8499999999995,2.9633333333333334,13.925,379
12,-2503.8999999999996,2.881666666666667,13.913333333333334,321
13,-2371.3000000000015,2.763333333333333,12.283333333333333,294
14,-2615.200000000001,2.9983333333333335,14.793333333333333,316
