episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,-826.2499999999987,1.0083333333333333,5.823333333333333,296,0,241
1,-1521.1000000000026,1.6983333333333333,12.473333333333333,245,0,240
2,-1060.8499999999979,1.2016666666666667,9.033333333333333,271,0,241
3,-1242.449999999999,1.47,8.623333333333333,291,0,239
4,-1285.1999999999996,1.4916666666666667,9.571666666666667,290,0,241
5,-1041.199999999998,1.26,6.998333333333333,309,0,241
