episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,-847.8999999999997,1.5683333333333334,10.25,310,0,245
1,-815.5399999999998,1.6766666666666667,13.903333333333334,325,0,244
2,-722.7999999999995,1.285,7.658333333333333,330,0,245
