episode,episode_reward,avg_total_q,avg_total_w,switches
0,-1521.8999999999999,1.5766666666666667,12.63,263
1,-1327.8500000000006,1.4083333333333334,10.171666666666667,278
2,-2522.3500000000017,2.408333333333333,25.97833333333333,300
3,-1818.8500000000008,1.9066666666666667,14.578333333333333,292
4,-1275.6499999999999,1.33,10.331666666666667,270
5,-2246.050000000002,2.3666666666666667,17.798333333333332,295
6,-1700.6500000000008,1.8366666666666667,12.338333333333333,274
7,-2078.100000000001,2.145,17.52,292
8,-1360.0000000000002,1.5383333333333333,8.163333333333334,272
9,-1200.6499999999996,1.3216666666666668,8.031666666666666,266
10,-1174.0000000000005,1.265,8.533333333333333,245
11,-1003.4999999999997,1.165,5.24,260
12,-1353.6499999999999,1.4983333333333333,8.901666666666667,242
13,-1366.1,1.505,9.176666666666666,248
14,-754.7999999999995,0.8783333333333333,3.81,268
15,-1280.7999999999997,1.4333333333333333,8.043333333333333,244
16,-1065.5000000000002,1.2166666666666666,6.096666666666667,190
17,-1376.0500000000004,1.53,8.908333333333333,232
18,-981.9000000000001,1.135,5.24,188
19,-950.3499999999999,1.0883333333333334,5.308333333333334,200
20,-1190.0000000000002,1.375,6.3966666666666665,210
21,-1092.6499999999999,1.2316666666666667,6.611666666666666,201
22,-1258.4,1.41,7.846666666666667,224
23,-1109.0999999999997,1.2783333333333333,6.02,205
24,-989.0499999999995,1.1466666666666667,5.198333333333333,179
25,-1300.5000000000002,1.4733333333333334,7.71,231
26,-1080.4999999999998,1.2583333333333333,5.536666666666667,188
27,-1117.15,1.29,6.028333333333333,189
28,-1049.8500000000001,1.2083333333333333,5.745,203
29,-859.8499999999997,1.0016666666666667,4.371666666666667,220
30,-1033.6999999999998,1.1866666666666668,5.706666666666667,230
31,-975.1999999999997,1.135,4.996666666666667,221
32,-1143.1000000000004,1.3183333333333334,6.173333333333333,239
33,-1005.5999999999998,1.1583333333333334,5.45,213
34,-1366.6500000000008,1.545,8.195,294
35,-1105.5999999999997,1.2666666666666666,6.163333333333333,266
36,-957.3499999999999,1.1066666666666667,5.081666666666667,255
37,-1062.6,1.2283333333333333,5.66,244
38,-1442.3500000000001,1.5916666666666666,9.598333333333333,342
39,-1029.2999999999995,1.2033333333333334,5.16,282
40,-1312.9000000000003,1.495,7.583333333333333,322
41,-1068.8999999999999,1.2316666666666667,5.79,267
42,-1354.45,1.5416666666666667,7.848333333333334,316
43,-1090.1,1.2583333333333333,5.886666666666667,236
44,-1065.7999999999993,1.2316666666666667,5.706666666666667,270
45,-1328.75,1.5133333333333334,7.671666666666667,306
46,-1097.2500000000005,1.2716666666666667,5.785,257
47,-1151.0500000000004,1.3283333333333334,6.1883333333333335,275
48,-1522.0000000000016,1.6366666666666667,11.173333333333334,251
49,-1666.5000000000014,1.795,12.19,288
50,-1272.2500000000002,1.4333333333333333,7.718333333333334,267
51,-1097.2500000000005,1.2716666666666667,5.785,222
52,-1198.0000000000002,1.3666666666666667,6.843333333333334,296
53,-1288.9000000000003,1.4466666666666668,7.963333333333333,264
54,-1215.7999999999997,1.385,7.006666666666667,259
55,-1226.3000000000002,1.42,6.516666666666667,258
56,-1204.4000000000008,1.3633333333333333,7.136666666666667,320
57,-1203.5500000000006,1.3683333333333334,6.998333333333333,276
58,-984.9999999999999,1.1533333333333333,4.8933333333333335,236
59,-1128.3500000000006,1.2766666666666666,6.701666666666667,245
60,-1110.0499999999997,1.2583333333333333,6.551666666666667,217
61,-1160.2500000000002,1.33,6.455,255
62,-1042.05,1.2,5.695,211
