episode,episode_reward,avg_total_q,avg_total_w,switches
0,-3669.849999999999,3.9116666666666666,28.048333333333332,308
1,-3318.750000000001,3.618333333333333,23.395,313
2,-2880.999999999998,3.1866666666666665,19.153333333333332,300
3,-3132.9000000000005,3.4683333333333333,20.84,281
4,-3215.100000000001,3.5866666666666664,20.69,301
5,-2925.250000000001,3.3466666666666667,16.748333333333335,336
6,-2424.900000000002,2.8033333333333332,13.1,327
7,-2563.600000000002,2.92,14.933333333333334,310
8,-2452.4,2.8233333333333333,13.556666666666667,314
9,-2813.1,3.1766666666666667,17.07,347
10,-3026.150000000003,3.453333333333333,17.511666666666667,368
11,-2621.550000000001,3.0016666666666665,14.905,325
12,-2462.5000000000014,2.8366666666666664,13.563333333333333,334
13,-2824.500000000001,3.2466666666666666,15.78,311
14,-2633.4500000000007,3.0566666666666666,13.971666666666666,322
